,id_men,culture_label,production_kg,superficie,villages,taille_menage,age,nbre_heure_travail,lat,lng
0,1,Arachide,1500,3.0,Ngouye,15,50,28.0,14.36715,-16.441645
1,1,Mais,500,1.0,Ngouye,15,50,28.0,14.36715,-16.441645
2,1,Mil,1100,2.0,Ngouye,15,50,28.0,14.36715,-16.441645
3,2,Arachide,750,1.0,Tuabou,3,73,43.69523604688676,14.8665572,-15.8994956
4,2,Mais,1000,1.0,Tuabou,3,73,43.69523604688676,14.8665572,-15.8994956
5,2,Mil,700,1.0,Tuabou,3,73,43.69523604688676,14.8665572,-15.8994956
6,3,Arachide,7000,11.0,Loumene   Momath,27,40,56.0,15.48839,-15.944754
7,3,Mais,400,2.0,Loumene   Momath,27,40,56.0,15.48839,-15.944754
8,3,Mil,2000,5.0,Loumene   Momath,27,40,56.0,15.48839,-15.944754
9,4,Arachide,150,0.25,Goundafa,9,52,2.0,13.839155,-12.309654
10,4,Mais,250,1.0,Goundafa,9,52,2.0,13.839155,-12.309654
11,5,Arachide,312,2.0,Thieye Thieye,6,44,35.0,14.7384546,-17.4677088
12,5,Mil,300,1.0,Thieye Thieye,6,44,35.0,14.7384546,-17.4677088
13,5,Niebe,150,1.0,Thieye Thieye,6,44,35.0,14.7384546,-17.4677088
14,6,Arachide,200,1.0,MBELOGNE,6,65,43.69523604688676,15.612929,-14.387781
15,6,Mil,300,1.0,MBELOGNE,6,65,43.69523604688676,15.612929,-14.387781
16,7,Bissap,200,1.0,Thor,5,73,43.69523604688676,41.5256358,-86.0134341
17,8,Arachide,1100,2.599999905,Fadial serrere,7,75,35.0,14.1631187,-16.7691712
18,8,Mil,935,2.0,Fadial serrere,7,75,35.0,14.1631187,-16.7691712
19,9,Arachide,7000,6.0,Darou Minam,10,45,42.0,14.093,-15.417
20,9,Mais,4000,2.0,Darou Minam,10,45,42.0,14.093,-15.417
21,9,Mil,8000,6.0,Darou Minam,10,45,42.0,14.093,-15.417
22,10,Arachide,100,0.5,Tirnguel,9,68,56.0,15.0711111,-15.4861111
23,10,Mil,100,0.5,Tirnguel,9,68,56.0,15.0711111,-15.4861111
24,10,Niebe,50,0.5,Tirnguel,9,68,56.0,15.0711111,-15.4861111
25,11,Mil,1100,1.5,Touba,14,70,43.69523604688676,14.8665572,-15.8994956
26,12,Arachide,2200,3.5,Mampatim,13,65,45.0,12.8924707,-14.3355527
27,12,Mais,0,1.0,Mampatim,13,65,45.0,12.8924707,-14.3355527
