id_men,culture_label,production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng
1,Arachide,1500,3.0,15,50,28,14.36715,-16.441645
1,Mais,500,1.0,15,50,28,14.36715,-16.441645
1,Mil,1100,2.0,15,50,28,14.36715,-16.441645
2,Arachide,750,1.0,3,73,48,14.8665572,-15.8994956
2,Mais,1000,1.0,3,73,48,14.8665572,-15.8994956
2,Mil,700,1.0,3,73,48,14.8665572,-15.8994956
3,Arachide,7000,11.0,27,40,56,15.48839,-15.944754
3,Mais,400,2.0,27,40,56,15.48839,-15.944754
3,Mil,2000,5.0,27,40,56,15.48839,-15.944754
4,Arachide,150,0.25,9,52,2,13.839155,-12.309654
4,Mais,250,1.0,9,52,2,13.839155,-12.309654
5,Arachide,312,2.0,6,44,35,14.7384546,-17.4677088
5,Mil,300,1.0,6,44,35,14.7384546,-17.4677088
5,Niebe,150,1.0,6,44,35,14.7384546,-17.4677088
6,Arachide,200,1.0,6,65,48,15.612929,-14.387781
6,Mil,300,1.0,6,65,48,15.612929,-14.387781
7,Bissap,200,1.0,5,73,48,49.2858125,-123.122266
8,Arachide,1100,2.599999905,7,75,35,14.1631187,-16.7691712
8,Mil,935,2.0,7,75,35,14.1631187,-16.7691712
9,Arachide,7000,6.0,10,45,42,14.093,-15.417
9,Mais,4000,2.0,10,45,42,14.093,-15.417
9,Mil,8000,6.0,10,45,42,14.093,-15.417
10,Arachide,100,0.5,9,68,56,15.0711111,-15.4861111
10,Mil,100,0.5,9,68,56,15.0711111,-15.4861111
10,Niebe,50,0.5,9,68,56,15.0711111,-15.4861111
11,Mil,1100,1.5,14,70,48,14.8665572,-15.8994956
12,Arachide,2200,3.5,13,65,45,12.8924707,-14.3355527
12,Riz,50,0.119999997,13,65,45,12.8924707,-14.3355527
12,Sorgho,1200,2.5,13,65,45,12.8924707,-14.3355527
14,Menthe,500,0.25,10,38,56,14.79959,-17.183611
15,Arachide,500,4.0,10,62,92,14.908855,-15.771968
15,Mil,2500,4.0,10,62,92,14.908855,-15.771968
17,Arachide,1440,2.0,21,65,49,12.75,-15.166667
18,Mais,100,0.25,5,48,6,40.7794366,-73.963244
19,Arachide,3250,3.5,12,66,42,14.8474389,-12.989615
19,Mais,2275,3.0,12,66,42,14.8474389,-12.989615
19,Sorgho,850,1.5,12,66,42,14.8474389,-12.989615
20,Mil,100,0.159999996,4,36,87,45.5154553,-73.5623129
21,Arachide,16,0.037999999,10,49,55,14.774882,-16.949684
21,Mais,1950,1.551800013,10,49,55,14.774882,-16.949684
22,Arachide,750,2.0,28,85,10,15.980688,-16.463694
22,Manioc,8000,2.0,28,85,10,15.980688,-16.463694
22,Mil,800,2.0,28,85,10,15.980688,-16.463694
22,Niebe,150,1.0,28,85,10,15.980688,-16.463694
23,Sorgho,50,0.308800012,33,35,5,15.4820724,-12.969461
24,Arachide,1600,3.072520018,10,65,28,13.849943,-13.742584
24,Mais,600,0.737410009,10,65,28,13.849943,-13.742584
24,Mil,750,0.890630007,10,65,28,13.849943,-13.742584
25,Arachide,200,3.0,6,72,48,40.72951339999999,-73.9964609
26,Arachide,600,1.0,7,56,2,13.1685154,-15.0937378
26,Riz,150,1.0,7,56,2,13.1685154,-15.0937378
27,Arachide,400,3.0,4,40,36,14.7158,-16.0364
27,Mil,280,2.0,4,40,36,14.7158,-16.0364
28,Arachide,500,1.0,8,60,9,14.423295,-16.2136689
28,Mil,700,1.0,8,60,9,14.423295,-16.2136689
28,Niebe,80,1.0,8,60,9,14.423295,-16.2136689
30,Arachide,2250,1.0,4,35,49,40.1019523,-88.2271615
30,Mil,350,0.5,4,35,49,40.1019523,-88.2271615
30,Riz,140,0.5,4,35,49,40.1019523,-88.2271615
31,Arachide,4600,1.5,35,57,18,13.146617,-13.752088
31,Mais,4600,3.0,35,57,18,13.146617,-13.752088
31,Riz,400,0.5,35,57,18,13.146617,-13.752088
32,Mil,150,0.449999988,10,42,35,12.6267874,-16.0140586
32,Riz,441,0.550000012,10,42,35,12.6267874,-16.0140586
34,Arachide,900,3.0,12,35,49,16.0282465,-16.4832893
34,Mais,50,1.0,12,35,49,16.0282465,-16.4832893
34,Mil,200,2.0,12,35,49,16.0282465,-16.4832893
35,Arachide,600,1.5,9,37,56,15.474907,-16.232817
35,Mil,400,2.0,9,37,56,15.474907,-16.232817
36,Riz,300,0.349999994,6,47,42,12.8967418,-16.3478507
38,Mil,600,2.0,10,30,9,15.401699,-13.2055019
39,Mil,600,1.0,12,55,72,12.85892,-16.501341
39,Riz,2500,1.0,12,55,72,12.85892,-16.501341
40,Arachide,100,1.0,4,33,10,12.5892062,-16.2627264
40,Mais,200,0.75,4,33,10,12.5892062,-16.2627264
41,Sorgho,720,1.0,12,50,89,14.8665572,-15.8994956
42,Niebe,100,1.0,7,84,48,15.7670613,-13.4771899
43,Arachide,200,0.5,9,42,8,13.7725888,-13.6710059
43,Mais,50,0.25,9,42,8,13.7725888,-13.6710059
43,Mil,500,1.0,9,42,8,13.7725888,-13.6710059
43,Sorgho,250,2.0,9,42,8,13.7725888,-13.6710059
44,Arachide,800,1.0,6,70,48,14.572845,-16.437431
44,Mil,1000,2.0,6,70,48,14.572845,-16.437431
45,Arachide,500,0.713800013,8,48,70,14.4774056,-17.035489
45,Mil,250,0.547599971,8,48,70,14.4774056,-17.035489
46,Arachide,6000,6.0,6,37,56,14.908855,-15.771968
46,Mais,1500,3.0,6,37,56,14.908855,-15.771968
46,Mil,2000,5.0,6,37,56,14.908855,-15.771968
47,Arachide,1800,1.992200017,9,35,70,14.850942,-16.291102
47,Mil,2500,1.564800024,9,35,70,14.850942,-16.291102
48,Arachide,300,1.0,7,49,6,14.2304389,-16.8679899
48,Mil,200,1.0,7,49,6,14.2304389,-16.8679899
49,Arachide,1250,3.0,10,20,48,37.22551,-80.4231382
49,Mais,600,2.0,10,20,48,37.22551,-80.4231382
49,Mil,1000,2.0,10,20,48,37.22551,-80.4231382
50,Bissap,105,1.0,6,55,54,14.7802142,-17.1159605
