villages,lat,lng
Ngouye,14.36715,-16.441645
Tuabou,14.8665572,-15.8994956
Loumene   Momath,15.48839,-15.944754
Goundafa,13.839155,-12.309654
Thieye Thieye,14.7384546,-17.4677088
MBELOGNE,15.612929,-14.387781
Thor,49.2858125,-123.122266
Fadial serrere,14.1631187,-16.7691712
Darou Minam,14.093,-15.417
Tirnguel,15.0711111,-15.4861111
Touba,14.8665572,-15.8994956
Mampatim,12.8924707,-14.3355527
Bambilor,14.79959,-17.183611
Keur  goumb,14.908855,-15.771968
Bantagnima,12.75,-15.166667
Ebarack,40.7794366,-73.963244
Kankėlėfa,14.8474389,-12.989615
Gethie,45.5154553,-73.5623129
Sinthiang Diouma,14.774882,-16.949684
Maka fall,15.980688,-16.463694
Horndolde,15.4820724,-12.969461
Sare moussa loum,13.849943,-13.742584
Medoune  ndiaye  b,40.72951339999999,-73.9964609
Soboulde,13.1685154,-15.0937378
Dendeye,14.7158,-16.0364
Somb,14.423295,-16.2136689
Deleko pathe,40.1019523,-88.2271615
Médina gounass,13.146617,-13.752088
Adeane,12.6267874,-16.0140586
Darou  ndiawene,16.0282465,-16.4832893
Ndiarno ricadji 1,15.474907,-16.232817
Baila,12.8967418,-16.3478507
Médina torobe,15.401699,-13.2055019
Karthiack,12.85892,-16.501341
Dira pont,12.5892062,-16.2627264
Thiarene,15.7670613,-13.4771899
Koar,13.7725888,-13.6710059
Ngalagne,14.572845,-16.437431
Nguarigne,14.4774056,-17.035489
Keur guéladio,14.908855,-15.771968
Sithiou dimbou mina,14.850942,-16.291102
Mbodiène,14.2304389,-16.8679899
Sare boyly,37.22551,-80.4231382
Keur mousseu,14.7802142,-17.1159605
Pendao,16.620322,-15.089071
Ndiossy,14.6373423,-17.0879032
Ouro Sidy,15.416667,-13.183333
Nghaye,14.819,-16.0468
Diout nguel,14.0501579,-16.6848833
Missirah,13.68042,-16.50128
Mbatar diop,14.499522,-16.625093
Missirah mouride,13.68042,-16.50128
Mboul,14.4228422,-16.9653756
Medina alpha,41.1334882,-81.7887765
Botaw,30.1113085,-97.3432184
Bambato,12.6052118,-15.6573821
Ndiama,12.9356273,-15.5899413
Bindago,14.497401,-14.452362
Yafera,14.774572,-12.2939589
Keur Aly Samba,13.680992,-15.878883
Madina El hadji souane,12.6982299,-15.8453924
Ndame Lo,15.892493,-15.901859
Syll thiakhene,13.9779361,-14.562614
Djifanghor,12.567655,-16.225212
Keur makandji,14.908855,-15.771968
Niaguis,12.568263,-16.172958
Beude forage,15.181099,-16.5716
Tambacounba,13.7725888,-13.6710059
Balmadou,12.6243991,-15.8591213
BARKATOU,15.6600225,-13.2576906
Thioyene,14.303292,-14.898275
NDOFFENE,13.919217,-15.9259271
Keur Souka,14.908855,-15.771968
Branssan,48.4231485,-123.366676
BADIARY,14.497401,-14.452362
Touba  Samaly,14.8665572,-15.8994956
Badiana,12.9161429,-16.4361702
Maka kahone,14.155166,-16.037436
Bokhol,16.516667,-15.4
THIAKH NIANG,14.7499663,-17.461208
Pelele Kindessa,12.3735906,-12.3836197
Houdallaye,14.192155,-12.228227
Tomba bantan gnima,44.97399,-93.2277285
Medinandrame,14.6821999,-17.450951
Diopcounda,12.823187,-15.387097
Idamouride,13.9876,-14.6644
Fouloum,14.497401,-14.452362
Kahinda,12.488625,-16.529349
Cap skirring,12.3614049,-16.7146184
Nguidile,15.4370399,-15.2194808
Ede,14.7497406,-17.5100452
Nguith,15.4002994,-15.1536731
Yeral fall,15.713093,-15.94964
Médina kanene,14.6821999,-17.450951
Saré Diaé,12.7,-15.25
Kahi,14.1321,-15.5533
Diagnon,12.583333,-15.966667
Brandoufary,12.7033366,-12.2547919
Londior ,14.270251,-15.9406128
Gagnick khodjil,14.270251,-15.9406128
Singhere mandingue,12.672876,-15.909299
Hafia Mbemba,32.7940463,34.989571
Mbary,45.4847268,-73.627969
Golonde,14.4370653,-17.0016412
Patouky,14.7498382,-17.4714214
Sakh,40.7982133,-77.8599084
Karcia,26.659447,-78.52065
Keurserignediebel,14.908855,-15.771968
Fass gounass,14.691,-17.4543767
Koulandiang,14.497401,-14.452362
Ngoundiane  samel,14.718494,-16.737057
Niankitte,12.972688,-16.229309
NDINDY,14.8943707,-16.2036778
Gantour,15.890622,-16.425352
Khourou ndiobene,14.2573123,-15.3505611
