,production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng,culture_label_Arachide,culture_label_Bissap,culture_label_Mais,culture_label_Manioc,culture_label_Mil,culture_label_Niebe,culture_label_Pasteque,culture_label_Riz,culture_label_Sesame,culture_label_Sorgho
4393,3100,5.5,13,58,48,14.85,-16.3667,0,0,0,0,1,0,0,0,0,0
1990,6000,3.0,12,54,75,13.8487435,-16.0552006,0,0,1,0,0,0,0,0,0,0
7924,1200,2.0,5,60,42,15.3961099,-15.1112776,0,0,0,0,1,0,0,0,0,0
1157,750,1.0,21,59,42,14.7547111,-17.4736087,0,0,0,0,0,0,0,1,0,0
7758,150,1.0,8,35,56,14.8665572,-15.8994956,0,0,0,0,0,0,0,0,0,1
2420,400,1.0,6,44,6,14.908855,-15.771968,1,0,0,0,0,0,0,0,0,0
4258,1400,2.0,6,42,7,13.0396236,-15.6940454,1,0,0,0,0,0,0,0,0,0
3280,110,1.200000048,6,40,14,13.183333,-14.233333,0,0,0,0,0,0,0,0,0,1
2873,100,1.0,6,35,45,15.486596,-15.657897,0,0,0,0,1,0,0,0,0,0
96,2800,0.5,13,36,80,16.620322,-15.089071,0,0,0,0,0,0,0,1,0,0
7749,500,1.0,10,44,48,14.908855,-15.771968,0,0,0,0,1,0,0,0,0,0
2295,6250,10.0,7,41,24,16.5101114,-14.6500371,1,0,0,0,0,0,0,0,0,0
5628,25,0.5,9,76,48,40.8075355,-73.9625727,0,0,0,0,0,1,0,0,0,0
986,400,5.0,6,35,63,14.908855,-15.771968,0,0,0,0,1,0,0,0,0,0
2276,3000,4.0,22,62,77,13.9865,-16.0603,1,0,0,0,0,0,0,0,0,0
2510,2500,1.0,15,26,35,14.691,-17.4543767,0,0,0,0,1,0,0,0,0,0
7878,1500,3.0,36,51,48,14.497401,-14.452362,0,0,0,0,0,1,0,0,0,0
5162,2500,4.0,6,29,40,14.2431709,-15.3965581,1,0,0,0,0,0,0,0,0,0
4350,400,1.0,5,71,25,14.716677,-17.4676861,0,0,0,0,0,0,0,1,0,0
7574,400,1.5,9,49,52,15.0,-16.416667,0,0,0,0,1,0,0,0,0,0
6366,250,0.681818187,9,52,6,15.0680677,-12.8615504,0,0,0,0,1,0,0,0,0,0
109,350,1.0,12,50,40,14.499522,-16.625093,0,0,0,0,1,0,0,0,0,0
1532,200,1.5,11,61,56,14.908855,-15.771968,0,0,0,0,1,0,0,0,0,0
6177,500,1.0,6,60,35,33.6474801,-96.5979639,0,0,0,0,0,1,0,0,0,0
7119,875,1.0,10,50,75,12.92281,-16.461386,1,0,0,0,0,0,0,0,0,0
1958,500,1.0,3,25,48,14.128458,-15.7439194,0,0,0,0,1,0,0,0,0,0
2348,500,2.0,11,57,49,15.020096,-16.282324,0,0,1,0,0,0,0,0,0,0
4311,800,2.0,8,60,35,14.497401,-14.452362,1,0,0,0,0,0,0,0,0,0
2979,250,1.0,7,38,60,14.4431751,-16.9565206,1,0,0,0,0,0,0,0,0,0
1620,500,1.0,12,65,28,38.9054458,-77.04954719999999,0,0,1,0,0,0,0,0,0,0
6405,750,1.0,14,45,54,15.181099,-16.5716,0,0,0,0,0,1,0,0,0,0
7454,100,1.0,1,45,42,14.7578805,-17.4388037,0,0,0,0,1,0,0,0,0,0
4128,1600,22.0,47,63,42,14.774572,-12.2939589,0,0,0,0,1,0,0,0,0,0
505,500,1.0,7,71,36,14.908855,-15.771968,1,0,0,0,0,0,0,0,0,0
7311,250,0.25,10,51,14,13.995527,-15.719152,1,0,0,0,0,0,0,0,0,0
2531,1000,8.0,7,55,49,34.0588036,-84.1712917,1,0,0,0,0,0,0,0,0,0
3976,800,1.0,8,65,48,14.1429424,-16.087423,1,0,0,0,0,0,0,0,0,0
78,50,0.25,9,42,8,13.7725888,-13.6710059,0,0,1,0,0,0,0,0,0,0
7955,1800,1.0,7,38,50,13.734559,-16.022245,0,0,0,0,1,0,0,0,0,0
4828,750,0.5,9,53,56,12.9161429,-16.4361702,1,0,0,0,0,0,0,0,0,0
5195,40,0.5,9,36,50,13.995527,-15.719152,0,0,0,0,0,1,0,0,0,0
4412,15000,5.0,17,42,70,0.0265717,18.2970692,0,0,0,0,1,0,0,0,0,0
6256,490,3.0,10,68,35,14.7802142,-17.1159605,0,0,0,1,0,0,0,0,0,0
8195,500,1.0,7,44,7,13.075033,-15.61002,0,0,1,0,0,0,0,0,0,0
5666,790,1.0,5,48,60,33.4662902,-88.80783520000001,0,0,0,0,0,0,0,1,0,0
4076,1000,2.0,20,65,8,45.5154553,-73.5623129,1,0,0,0,0,0,0,0,0,0
5885,100,1.0,6,58,50,14.7497406,-17.5100452,0,0,0,0,0,0,0,0,0,1
