production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng,culture_label_Arachide,culture_label_Bissap,culture_label_Mais,culture_label_Manioc,culture_label_Mil,culture_label_Niebe,culture_label_Pasteque,culture_label_Riz,culture_label_Sesame,culture_label_Sorgho
600,1.0,17,64,49,30.2416954,-92.0247553,0,0,1,0,0,0,0,0,0,0
100,1.5,9,55,49,12.9133385,-14.1611302,0,0,1,0,0,0,0,0,0,0
462,1.5,6,70,70,15.450981,-15.989164,1,0,0,0,0,0,0,0,0,0
2500,1.5,11,47,12,14.6821999,-17.450951,0,0,1,0,0,0,0,0,0,0
2150,3.0,13,63,48,14.691,-17.4543767,0,0,1,0,0,0,0,0,0,0
275,0.25,23,66,14,34.068921,-118.4451811,1,0,0,0,0,0,0,0,0,0
800,2.0,10,30,70,14.6821999,-17.450951,0,0,0,0,0,0,0,0,0,1
1500,3.0,3,52,12,15.020773,-15.902403,1,0,0,0,0,0,0,0,0,0
800,2.0,8,62,48,14.697239,-15.646563,0,0,0,0,1,0,0,0,0,0
2150,4.0,13,58,48,14.85,-16.3667,0,0,0,0,0,0,0,0,0,1
200,1.0,5,48,49,16.593767,-14.99098,0,0,0,0,1,0,0,0,0,0
684,0.600000024,9,62,48,12.454697,-16.638454,0,0,0,0,0,0,0,1,0,0
1500,0.25,12,30,56,14.497401,-14.452362,0,0,0,0,0,0,0,1,0,0
200,1.0,29,39,26,14.4250062,-16.6070268,0,0,0,0,1,0,0,0,0,0
600,1.0,4,49,40,13.995527,-15.719152,0,0,1,0,0,0,0,0,0,0
950,2.0,7,76,56,13.5568193,2.4066961,0,0,0,0,1,0,0,0,0,0
2800,4.0,21,70,70,14.133333,-15.816667,1,0,0,0,0,0,0,0,0,0
1500,3.0,11,55,8,14.9026699,-12.4638538,0,0,0,0,1,0,0,0,0,0
700,1.0,10,65,35,14.36715,-16.441645,1,0,0,0,0,0,0,0,0,0
2350,3.0,17,88,48,14.192155,-12.228227,0,0,0,0,1,0,0,0,0,0
600,1.0,14,55,48,14.7309898,-17.4682077,0,0,1,0,0,0,0,0,0,0
800,1.0,7,60,48,14.908855,-15.771968,1,0,0,0,0,0,0,0,0,0
100,0.298599988,8,70,25,12.3614049,-16.7146184,0,0,1,0,0,0,0,0,0,0
600,2.0,9,49,63,15.661027,-16.036133,0,0,0,0,1,0,0,0,0,0
500,3.0,6,30,49,14.7443828,-16.6143944,1,0,0,0,0,0,0,0,0,0
