villages,id_men,taille_menage,age,nbre_heure_travail
Ngouye,1,15,50,28
Tuabou,2,3,73,0
Loumene   Momath,3,27,40,56
Goundafa,4,9,52,2
Thieye Thieye,5,6,44,35
MBELOGNE,6,6,65,-99
Thor,7,5,73,-99
Fadial serrere,8,7,75,35
Darou Minam,9,10,45,42
Tirnguel,10,9,68,56
Touba,11,14,70,-99
Mampatim,12,13,65,45
Warbe  sounkarou,13,10,50,56
Bambilor,14,10,38,56
Keur  goumb,15,10,62,92
Sagnol,16,14,48,48
Bantagnima,17,21,65,49
Ebarack,18,5,48,6
Kankėlėfa,19,12,66,42
Gethie,20,4,36,87
Sinthiang Diouma,21,10,49,55
Maka fall,22,28,85,10
Horndolde,23,33,35,5
Sare moussa loum,24,10,65,28
Medoune  ndiaye  b,25,6,72,0
Soboulde,26,7,56,2
Dendeye,27,4,40,36
Somb,28,8,60,9
Touba mboul,29,8,60,-99
Deleko pathe,30,4,35,49
Médina gounass,31,35,57,18
Adeane,32,10,42,35
Gatte ngaraffe1,33,11,53,70
Darou  ndiawene,34,12,35,49
Ndiarno ricadji 1,35,9,37,56
Baila,36,6,47,42
Sinthiang Koundara,37,9,67,14
Médina torobe,38,10,30,9
Karthiack,39,12,55,72
Dira pont,40,4,33,10
Tuabou,41,12,50,89
Thiarene,42,7,84,0
Koar,43,9,42,8
Ngalagne,44,6,70,48
Nguarigne,45,8,48,70
Keur guéladio,46,6,37,56
Sithiou dimbou mina,47,9,35,70
Mbodiène,48,7,49,6
Sare boyly,49,10,20,48
Keur mousseu,50,6,55,54
Pendao,51,13,36,80
Ndiossy,52,19,77,14
Ouro Sidy,53,12,56,9
Nghaye,54,14,71,-99
Diout nguel,55,5,65,10
Wendou namary,56,9,77,30
Missirah,57,12,32,56
Mbatar diop,58,12,50,40
Missirah mouride,59,4,50,48
Mboul,60,9,61,25
Seno aliou,61,17,70,-99
Medina alpha,62,9,67,35
Botaw,63,6,65,6
Bambato,64,5,60,6
Ndiama,65,5,60,6
SEGRE BAMBARA,66,7,42,70
Bindago,67,8,55,25
Yafera,68,4,69,80
Keur Aly Samba,69,7,69,42
Madina El hadji souane,70,12,47,35
Ndame Lo,71,14,47,42
Syll thiakhene,72,20,48,48
Beltaty  Serere,73,13,40,49
Djifanghor,74,8,44,54
Keur makandji,75,14,50,63
Ndieulbert 1,76,6,28,56
Niaguis,77,17,60,35
Beude forage,78,9,55,54
Bantagnima,79,9,40,35
Tambacounba,80,21,55,35
Balmadou,81,10,45,60
Hamdalaye malick,82,23,57,65
Ndiarno ricadji 1,83,7,31,56
BARKATOU,84,12,65,5
Thioyene,85,10,66,42
Foumyharra Diobbe,86,5,60,8
NDOFFENE,87,7,59,48
Keur Souka,88,10,54,49
Branssan,89,8,50,56
BADIARY,90,4,38,42
Touba  Samaly,91,4,45,49
Badiana,92,5,69,49
Maka kahone,93,7,45,4
Mboul,94,13,67,49
Touba linguere,95,12,50,2
Mankonoding,96,6,51,49
Bokhol,97,6,56,35
THIAKH NIANG,98,7,52,48
Diokoul mbelbouck,99,11,42,70
Pelele Kindessa,100,9,31,42
Houdallaye,101,3,65,49
Tomba bantan gnima,102,10,55,70
Medinandrame,103,4,42,-99
Diopcounda,104,15,60,42
Idamouride,105,17,66,56
Fouloum,106,5,65,-99
Kahinda,107,6,46,40
Cap skirring,108,3,38,45
Nguidile,109,10,70,38
Ede,110,3,25,50
Nguith,111,20,60,42
Yeral fall,112,9,80,0
Médina kanene,113,16,55,49
Saré Diaé,114,7,48,42
Kahi,115,16,43,46
Kadji Madia,116,14,65,49
Diagnon,117,15,48,36
Brandoufary,118,9,45,42
Londior ,119,9,57,32
Gagnick khodjil,120,6,30,-99
Singhere mandingue,121,8,75,20
Hafia Mbemba,122,17,76,42
Mbary,123,9,68,56
Golonde,124,5,56,42
Patouky,125,3,50,49
Sakh,126,6,50,35
Karcia,127,5,50,70
